Solute_SMILES,Solvent_SMILES,T,log-gamma
C,CCCCCCCCCCCCCCCC,40,-0.261364764
C,CCCCCCCCCCCCCCCC,70,-0.287682072
C,CCCCCCCCCCCCCCCC,90,-0.301105093
CC,CCCCCCCCCCCCCCCC,40,-0.235722334
CC,CCCCCCCCCCCCCCCC,70,-0.248461359
CC,CCCCCCCCCCCCCCCC,90,-0.261364764
CCC,CCCCCCCCCCCCCCCC,40,-0.198450939
CCC,CCCCCCCCCCCCCCCC,70,-0.210721031
CCC,CCCCCCCCCCCCCCCC,90,-0.223143551
CCCC,CCCCCCCCCCCCCCCC,40,-0.162518929
CCCC,CCCCCCCCCCCCCCCC,70,-0.174353387
CCCC,CCCCCCCCCCCCCCCC,90,-0.186329578
CCCCC,CNC(C)=O,40,2.388762789
CCCCC,CNC(C)=O,70,2.24495598
CCCCC,CNC(C)=O,170,2.115049969
CCCCC,CN[S](C)(=O)=O,24,5.049856007
CCCCC,CN[S](C)(=O)=O,40,4.644390899
CCCCC,CN[S](C)(=O)=O,70,4.599152114
CCCCC,CCNC(C)=O,24,1.937301775
CCCCC,CCNC(C)=O,40,1.85159947
CCCCC,CCNC(C)=O,70,1.749199855
CCCCC,CNC=O,40,3.342861805
CCCCC,CN1CCCC1=O,40,2.32238772
CCCCC,CN(C)C(C)=O,24,2.406945108
CCCCC,CN(C)C(C)=O,40,2.118662255
CCCCC,CN(C)C=O,24,2.708050201
CCCCC,OCCO,25.55,5.529429088
CCCCC,OCCO,25.55,5.537334267
CCCCC,OCCO,25.55,5.497168225
CCCCC,OCCO,35.25,5.370638028
CCCCC,OCCO,35.25,5.384495063
CCCCC,OCCO,45.65,5.159055299
CCCCC,OCCO,45.65,5.141663557
CCCCC,OCCO,60.55,4.934473933
CCCCC,OCCO,60.55,4.94875989
CCCCC,CN1CCCC1=O,30,2.360854001
CCCCC,O=CN1CCOCC1,30.1,3.299533728
CCCCC,O=CN1CCOCC1,40.2,3.186352633
CCCCC,O=CN1CCOCC1,50.1,3.077312261
CCCCC,O=CN1CCOCC1,60.2,2.975529566
CCCCC,O=S1(CCCC1)=O,30,4.12552018
CCCCC,O=S1(CCCC1)=O,30,4.010962953
CCCCC,CNC(C)=O,30.22,2.481567749
CCCCC,CNC(C)=O,45.22,2.430978308
CCCCC,CNC(C)=O,60.06,2.38416508
CCCCC,CN(C)C(C)=O,30.41,2.073800662
CCCCC,CN(C)C(C)=O,44.47,1.925124181
CCCCC,CN(C)C(C)=O,60.26,1.773086204
CCCCC,O=S1(CCCC1)=O,30.22,3.544720358
CCCCC,O=S1(CCCC1)=O,44.75,3.415757533
CCCCC,O=S1(CCCC1)=O,59.45,3.305420426
CCCCC,CC(C)(C)OCCOCCOCCOC,30,0.428530381
CCCCC,CC(C)(C)OCCOCCOCCOC,50,0.395414772
CCCCC,CC(C)(C)OCCOCCOCCOC,70,0.33432708
CCCCC,CCCCOCCOCCOCCOCCCC(C)(C)C,30,-0.133531393
CCCCC,CCCCOCCOCCOCCOCCCC(C)(C)C,50,-0.15082289
CCCCC,CCCCOCCOCCOCCOCCCC(C)(C)C,70,-0.170788321
CCCCC,CCNC=O,30,2.57261223
CCCCC,O=CN1CCOCC1,40.1,3.161246712
CCCCC,O=CN1CCOCC1,59.5,2.960105096
CCCCC,O=CN1CCOCC1,79.3,3.025291076
CCCCC,O=CN1CCOCC1,100.2,2.602689685
CCCCC,CN1CCCC1=O,50.2,2.442347035
CCCCC,CN1CCCC1=O,60,2.32238772
CCCCC,OCCOCCO,60.05,4.25106337
CCCCC,OCCOCCO,75.05,3.984529696
CCCCC,OCCOCCO,90.05,3.99249639
CCCCC,OCCOCCOCCO,60.05,3.517794529
CCCCC,OCCOCCOCCO,75.05,3.428812549
CCCCC,OCCOCCOCCO,90.05,3.143289838
CCCCC,O=CN1CCOCC1,60.05,2.957511061
CCCCC,O=CN1CCOCC1,75.05,2.850706502
CCCCC,O=CN1CCOCC1,90.05,2.727852828
CCCCC,CN1CCCC1=O,60.05,2.118662255
CCCCC,CCCCCCCCCCCCCCCC,25,-0.192371893
CCCCC,CC#N,25,3.063390922
CCCCC,CC#N,35,2.93385687
CCCCC,CCCCC,25,0.048790164
CCCCC,CCCCCC,25,-0.010050336
CCCCC,CCCCCCC,25,-0.010050336
CCCCC,CCCCCCCC,25,-0.020202707
CCCCC,CCCCCCCCC,25,-0.051293294
CCCCC,CCCCCCCCCC,25,-0.127833372
CCCCC,CCCCCCCCCCCC,25,-0.127833372
CCCCC,CCCCCCCCCCCCCCCC,25,-0.174353387
CCCCC,C1CCCCC1,25,0.198850859
CCCCC,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,25,-0.544727175
CCCCC,CC(C)CC(C)(C)C,25,-0.072570693
CCCCC,CO,25,2.913437031
CCCCC,OCC,25,2.051556338
CCCCC,OCCC,25,1.631199404
CCCCC,OCCCC,25,1.393766376
CCCCC,OCCCCCCCC,25,0.797507196
CCCCC,OC(C)C,25,1.684545385
CCCCC,CC(C)=O,25,1.637053079
CCCCC,CCC(C)=O,25,1.220829921
CCCCC,CCCC(C)=O,25,0.947789399
CCCCC,CCCCCC(C)=O,25,0.631271777
CCCCC,CC#N,25,2.835563521
CCCCC,CCC#N,25,2.048982334
CCCCC,CCCC#N,25,1.601405741
CCCCC,CCCCCCCCCCCCCCC#N,25,0.270027137
CCCCC,COC(C)=O,25,1.528227857
CCCCC,CCOC(C)=O,25,1.105256831
CCCCC,CCCCOC(C)=O,25,0.652325186
CCCCC,CCCCCCOC(C)=O,25,0.392042088
CCCCC,CCOC(CCC)=O,25,0.548121409
CCCCC,c1ccccc1,25,0.712949808
CCCCC,Cc1ccccc1,25,0.518793793
CCCCC,Cc1ccc(C)cc1,25,0.378436436
CCCCC,OCc1ccccc1,25,2.285438934
CCCCC,O=N(c1ccccc1)=O,25,1.880990603
CCCCC,COc1ccccc1,25,1.199964783
CCCCC,N#Cc1ccccc1,25,1.640936579
CCCCC,CC(=O)c1ccccc1,25,1.654411278
CCCCC,Clc1ccccc1,25,0.765467842
CCCCC,CN(C)C=O,25,2.463853241
CCCCC,CN(C)C(C)=O,25,2.135349174
