Unnamed: 0,Solute_SMILES,Solvent_SMILES,log-gamma,T
15644,CCOC(C)(C)C,C1CCC(=O)OCC1,1.581038438,30
16318,CO,CCCCOCCOCCOCCCC,0.563607809,30
17792,CC(C)CC(C)(C)C,CCOS(=O)(=O)OCC,2.450315205,30
6985,COC=O,COCCOCCOCCOCCOC,-0.505838082,30
10763,CC(=O)C,CNC=O,0.760805829,30
20723,C1=COC=C1,CCCCCCCCCC,0.385262401,30
4504,CCC(C)(C)OC,C1CCC(=O)OCC1,1.386294361,30
6909,C1=CC=CC=C1,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.104360015,30
19485,CCCC1=CC=CC=C1,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.202116184,30
12495,CCCCO,CCCCCCC,3.443618098,30
11940,CCCCCC,CC(=CCC/C(=C/CC/C(=C/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)/C)/C)C,-0.289016295,30
8786,CCCCCCC=C,CCNC(=O)C,2.20386912,30
7627,C(Cl)(Cl)Cl,C1CCC(=O)OCC1,-0.916290732,30
17868,CCCC(C)C,CCCCCCCCCCCCCCCCCC,-0.107585211,30
15807,CCCC(C)C,CC(C)(C)OC,0.2390169,30
17195,CCCCC#C,C(CCC#N)CC#N,1.532556868,30
10404,CC1CCCCC1,C1COCCN1C=O,3.182626692,30
12036,C(=C(Cl)Cl)Cl,CC(=O)N(C)C,-0.164874643,30
13392,C(C(Cl)Cl)Cl,CCCCOCCOCCOCCCC,0.076034686,30
18442,CCCC=C,C1COCCN1C=O,2.525728644,30
11181,CC1=CC(=CC=C1)C,CC1COC(=O)O1,1.953027617,30
10997,CCCC#N,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,1.302912752,30
13581,CC(C)OC(C)C,CCNC=O,1.91839212,30
13688,C(Cl)Cl,CCN(CC)C(=O)C,-1.347073648,30
6606,CCCCC=C,C1CCS(=O)(=O)C1,3.384390263,30
16574,CCCC=C,CN1CCCCC1=O,1.45395301,30
18971,CC(=O)OC=C,CCN(CC)C(=O)C,0.086177696,30
8373,CCCCCCCCC,CCO,3.05,30
2167,CO,C1CCC(=O)OCC1,0.500775288,30
12540,CC1=CC=CC=C1C,CCCCOCCOCCOCCOCCCC,-0.359536176,30
1277,CCCCCCC,C1CCS(=O)(=O)C1,4.569543008,30
12807,CCCC=C,CS(=O)C,3.165475048,30
4499,CC(C)(C)OC,CCCCCCCCCCO,0.165514438,30
2625,CC(C)(C)OC,CCCC(C)C,0.223143551,30
8947,CCCCCC=C,CCCCCCCCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.030459207,30
9750,CO,CCNC=O,-0.079043207,30
367,CCCCCC,CN(C)C=O,2.827313622,30
1893,CCCCCCCC,C1COCCN1C=O,4.148674907,30
12532,CC(C)(C)OC,CCCCCC,0.231111721,30
7367,CCCCCCCC,CNC=O,4.388008706,30
10456,CCCOC(=O)C,CCCCCO,1.153731588,30
8562,CC1=CC=CC=C1,CCCCOCCOCCOCCOCCCC,-0.499226488,30
19341,CC1CCCCC1,CCOS(=O)(=O)OCC,2.066356302,30
8941,CC(=O)C,CCCCCCCCCCCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0.587786665,30
15655,CC1CCCCC1,CC1CC(S(=O)(=O)C1)C,2.459588842,30
7818,CC1=CC=CC=C1,CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,-0.338273859,30
14706,CC1=CC=CC=C1C,CNC=O,2.292635762,30
13404,CCCOC(=O)C,CCCCCCCCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0.378436436,30
19346,C1=CC=CC=C1,C1CCS(=O)C1,0.741937345,30
17589,C(F)(F)(F)Cl,CCCCOCCOCCOCCCC,-0.316081547,30
6617,CC1=CC=CC=C1,CC(=O)NC,1.337104117,30
8716,CCC(=O)C,CN1CCCCC1=O,0.198850859,30
1327,CC(=O)C,CO,0.746687947,30
15195,CCOCC,CC(=O)NC,1.432223293,30
2064,C1=CC=CC=C1,CCCCCCCCCCCCCCCCCCC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.020202707,30
13701,C1CCCCC1,CC1CC(S(=O)(=O)C1)C,2.185151996,30
13896,CCC(C)(C)OC,CCNC=O,1.663926098,30
14739,CO,CCOC(=O)C1=CC=CC=C1C(=O)OCC,0.932164081,30
6599,CCCCCC=C,C1CCS(=O)(=O)C1,3.740047741,30
17438,CC(C)CC(C)(C)C,C1COCCN1C=O,3.959288198,30
6999,CC1=CC=CC=C1,CCN(CC)C(=O)C,0.182321557,30
4178,C1=CC=CC=C1,C1COCCN1C=O,0.722705983,30
