Unnamed: 0,Solute_SMILES,Solvent_SMILES,log-gamma,T
70,CCCCC,CC(=O)N(C)C,1.773086204,60
72,CCCCC,CC(=O)N(C)C,1.773255998,60
86,C1CCCCC1,C1=CC=C2C(=C1)C=CC=N2,1.381281819,60
90,CCCCCCC,C1=CC=C2C(=C1)C=CC=N2,1.906575144,60
105,C1=CC=CC=C1,CC1=CC=CC2=CC=CC=C12,0.277631737,60
117,CCCCCC,CC1COC(=O)O1,3.465735903,60
121,CCCCCC,CCC(=O)C,1.147402453,60
131,CCCCCC,CCC(=O)C,1.223775432,60
136,CCCCCC,C(COCCC#N)C#N,4.091005661,60
137,CCCCCC,COCCO,2.57261223,60
144,C1=CC=CC=C1,C(CNCCC#N)C#N,1.085189268,60
148,CCCCCC,C1=CC=NC=C1,1.568615918,60
150,CCCCCC,C1CCS(=O)(=O)C1,3.655477777,60
163,C1=CC=CC=C1,CCC(=O)C,0.139761942,60
166,C1=CC=CC=C1,CCC(=O)C,0.139761942,60
169,CCCCCC,C1=CC=C(C=C1)O,2.48490665,60
172,CCCCCC,C1=CC=C(C=C1)O,2.617395833,60
182,CCCCCC,C(COCCOCCO)O,3.701301974,60
186,CCCCCC,C(COCCOCCO)O,3.825157072,60
187,C1=CC=CC=C1,CC(=O)C,0.470003629,60
198,CCCCCC,CO,2.944438979,60
206,CCCCCC,CCO,2.272125886,60
217,CCCCCC,CCCCCCC,0.0,60
221,C1=CC=CC=C1,CS(=O)C,1.115141591,60
223,C1=CC=CC=C1,CS(=O)C,1.131402111,60
229,C1=CC=CC=C1,CCC#N,0.392042088,60
231,C1=CC=CC=C1,CCC#N,0.392042088,60
235,C1=CC=CC=C1,C[N+](=O)[O-],1.064710737,60
242,C1=CC=CC=C1,C(COCCO)O,1.871802177,60
250,C1=CC=CC=C1,C(COCCO)O,1.991975516,60
255,C1=CC=CC=C1,CC1COC(=O)O1,1.156881197,60
258,CCCCCC,CC(=O)C,1.62924054,60
290,C1=CC=CC=C1,C1=COC(=C1)C=O,0.841567186,60
296,C1=CC=CC=C1,CN1CCCC1=O,0.207014169,60
304,C1=CC=CC=C1,CN1CCCC1=O,0.058268908,60
309,C1=CC=CC=C1,CN1CCCC1=O,0.048790164,60
315,C1=CC=CC=C1,CO,1.757857918,60
322,C1=CC=CC=C1,C(CO)O,3.295836866,60
342,C1=CC=CC=C1,CCO,1.704748092,60
352,CCCCCC,C(CO)O,5.730099783,60
360,CCCCCC,CN(C)C=O,2.442347035,60
365,CCCCCC,CN(C)C=O,2.48490665,60
373,CCCCCC,CC#N,2.76000994,60
375,CCCCCC,CC#N,2.939161922,60
378,C1=CC=CC=C1,CCCCCCC,0.336472237,60
386,C1=CC=CC=C1,C1=CC=C(C=C1)O,0.916290732,60
393,CCCCCC,C[N+](=O)[O-],3.091042453,60
397,CCCCCC,C(COCCO)O,4.158883083,60
399,CCCCCC,C(COCCO)O,4.561531729,60
411,CCCCCC,CN1CCCC1=O,2.541601993,60
